author	birth	death	origin
Zabel Yesayan	1878	1943	Ottoman E/USSR
Zofka Kveder	1878	1926	Yugoslavia/Slovenia
A. S. M. Hutchinson	1879	1971	England
Agnes Miegel	1879	1964	Germany
Alan Orr Anderson	1879	1958	Scotland
Albert Einstein	1879	1955	Germany/US
Alcides Arguedas	1879	1946	Bolivia
Alfred Blunt	1879	1957	France/England
Alfred Eckhard Zimmern	1879	1957	England
Amy Kane	1879	1979	N Zealand
Branislav Milosavljevic'	1879	1944	Serbia/Yugoslavia
Carlos Pezoa Véliz	1879	1908	Chile
Catherine Carswell	1879	1946	Scotland
Claude Scudamore Jarvis	1879	1953	England/Egypt
Dezso'' Szabó	1879	1945	Hungary
Dorothy Canfield Fisher	1879	1958	US
E. M. Forster	1879	1970	England
Émile Nelligan	1879	1941	Canada
Emilie Gourd	1879	1946	Switzerland
Ernest Jones	1879	1958	Wales/England
Eva Roe Gaggin	1879	1966	US
Ferenc Móra	1879	1934	Hungary
Florence Dugdale	1879	1937	England
Franz Tamayo	1879	1956	Bolivia
Franz von Papen	1879	1969	Germany
Frieda Lawrence	1879	1956	Germany/US
Harold Monro	1879	1932	Belgium/England
Hasegawa Shigure	1879	1941	Japan
Herman Teirlinck	1879	1967	Belgium
James Alexander Allan	1879	1967	Australia
James Branch Cabell	1879	1958	US
James Larkin Pearson	1879	1981	US
Jean Louis De Esque	1879	1956	US
Johan Falkberget	1879	1967	Norway
John Henry Goldfrap	1879	1917	England/US
Josip Murn	1879	1901	Austria-Hungary
Josip Murn Aleksandrov	1879	1901	Austria-Hungary
Julia Bell	1879	1979	England
K. A. C. Creswell	1879	1974	England
Kaf Nagai	1879	1959	Japan
Kosta Abrasvevic'	1879	1898	Ottoman E/Serbia
Léon Deubel	1879	1913	France
Leon Trotsky	1879	1940	Russia/USSR
Leslie Holdsworth Allen	1879	1964	Australia
Lilian Leveridge	1879	1953	England/Canada
Lope K. Santos	1879	1963	Philippines
Maurice Walsh	1879	1964	Ireland
Melville Henry Cane	1879	1980	US
Milutin Milankovic'	1879	1958	Austria-Hungary/Yugoslavia
Miriam Alexander	1879	1924	
Neyzen Tevfik	1879	1953	Ottoman E/Turkey
Norman Lindsay	1879	1969	Australia
Patrick Pearse	1879	1916	Ireland
Percy Lubbock	1879	1965	England
Petko Todorov	1879	1916	Bulgaria
Robert Wilson Lynd	1879	1949	Ireland/England
Takashi Nagatsuka	1879	1915	Japan
Thomas Evan Nicholas (Niclas y Glais)	1879	1971	Wales
U Ottama	1879	1939	Burma
Vachel Lindsay	1879	1931	US
Velimir Rajic'	1879	1915	Serbia
Vincent Cartwright Vickers	1879	1939	England
Wallace Stevens	1879	1955	US
Walter Scott Story	1879	1955	US
Yunus Nadi Abalıo	1879	1945	Ottoman E/Turkey
Zsigmond Móricz	1879	1942	Hungary
Alexander Blok	1880	1921	Russian E
Alexander Grin	1880	1932	Russian E/USSR
Alfred Noyes	1880	1958	England
Alice Dayrell Caldeira Brant	1880	1970	Brazil
Andrei Bely	1880	1934	Russian E/USSR
Angelina Weld Grimké	1880	1958	US
Anzia Yezierska	1880	1970	Russian E/US
Begum Rokeya	1880	1932	India
Chris van Abkoude	1880	1960	Netherlands/US
Clara Thue Ebbell	1880	1971	Norway
David Thomas	1880	1967	Wales
Dick Sheppard	1880	1937	England
Edward Storer	1880	1944	England
Edward Tegla Davies	1880	1967	Wales
Eleanor Doorly	1880	1950	Jamaica/England
Elizabeth Kenny	1880	1952	Australia
Elsie J. Oxenham	1880	1960	England
Fredrik Ström	1880	1948	Sweden
Gaston Couté	1880	1911	France
Georgia Douglas Johnson	1880	1966	US
Guðrún Lárusdóttir	1880	1938	Iceland
Guillaume Apollinaire	1880	1918	France
Hans Much	1880	1932	Germany
Helen Keller	1880	1968	US
Henry Howarth Bashford	1880	1961	England
Henry James Bruce	1880	1951	England
Honoré Willsie Morrow	1880	1940	US
Isaac Daniel Hooson	1880	1948	Wales
Ismail Hossain Siraji	1880	1931	India
J. P. Martin	1880	1966	England/S Africa
James Stephens	1880	1950	Ireland
Jóhann Sigurjónsson	1880	1919	Iceland
John Freeman	1880	1929	England
Johnny Gruelle	1880	1938	US
Lytton Strachey	1880	1932	England
Margit Kaffka	1880	1918	Hungary
Melchior Lengyel	1880	1974	Hungary
Mihail Sadoveanu	1880	1961	Romania
Mikheil Javakhishvili	1880	1937	Russian E/USSR
Milan C'urcvin	1880	1960	Austria-Hungary/Yugoslavia
Montague Summers	1880	1948	England
Radclyffe Hall	1880	1943	England
Robert Musil	1880	1942	Austria/Switzerland
Ruth Sawyer	1880	1970	US
Sara Beirão	1880	1974	Portugal
Sasha Cherny	1880	1932	Russian E/USSR
Sholem Asch	1880	1957	Poland/England
Tudor Arghezi	1880	1967	Romania
Vladislav Petkovic' Dis	1880	1917	Serbia
Walter von Molo	1880	1958	Austria-Hungary/Germany
William Ellery Channing	1880	1942	US
Aizu Yaichi	1881	1956	Japan
Alan Mulgan	1881	1962	N Zealand
André Salmon	1881	1969	France
Clive Bell	1881	1964	England
Daisy Ashford	1881	1972	England
Delfina Bunge	1881	1952	Argentina
Edgar Guest	1881	1959	England/US
Eleanor Farjeon	1881	1965	England
Emil Ludwig	1881	1948	Germany/Switzerland
Ernest O'Ferrall	1881	1925	Australia
Esther Glen	1881	1940	N Zealand
Eugen Lovinescu	1881	1943	Romania
Florence Magruder Gilmore	1881	1945	US
Frederick Lonsdale	1881	1954	England
Gabino Coria Peñaloza	1881	1975	Argentina
Grace Stone Coates	1881	1976	US
H. M. Green	1881	1962	Australia
Herbert Asquith	1881	1947	
Hilda Bridges	1881	1971	Australia
Hulda	1881	1946	Iceland
Ifor Williams	1881	1965	Wales
Ion Minulescu	1881	1944	Romania
Isabel Grubb	1881	1972	Ireland
Isabel Peacocke	1881	1973	N Zealand
João do Rio	1881	1921	Brazil
Joaquín García Monge	1881	1958	Costa Rica
John Neihardt	1881	1863	US
José Arce	1881	1968	Argentina/US
Kaoru Osanai	1881	1928	Japan
Kathleen Dalziel	1881	1969	S Africa/Australia
Lascelles Abercrombie	1881	1938	England
Lascelles Abercrombie	1881	1938	England
Leo Myers	1881	1944	England
Lima Barreto	1881	1922	Brazil
Lu Xun	1881	1936	China
Ludwig von Mises	1881	1973	Austria/US
Margery Williams	1881	1944	England/US
Marie Hamsun	1881	1969	Norway
Mary Montgomerie Bennett	1881	1961	Australia
Mary Webb	1881	1927	England
Morita S	1881	1949	Japan
Nikolaj Velimirovic'	1881	1956	Serbia/US
Octavian Goga	1881	1938	Austria-Hungary/Romania
Oskar Braaten	1881	1939	Norway
Padraic Colum	1881	1972	Ireland
Reginald Arkell	1881	1959	England
Robert Thomas Jenkins	1881	1969	Wales
Roger Martin du Gard	1881	1958	France
Rose Macaulay	1881	1958	England
Rupert Atkinson	1881	1961	Australia
Sarah Pitt	1881	1900	England
Sibylle von Olfers	1881	1916	Germany
Stefan Zweig	1881	1942	Switzerland/Brazil
Sumner Locke	1881	1917	Australia
Valery Larbaud	1881	1957	France
Vladimir Stanimirovic'	1881	1956	Yugoslavia/Serbia
William John Gruffydd	1881	1954	Wales
William McFee	1881	1966	England/US
Witter Bynner	1881	1968	US
A. A. Milne	1882	1956	England
Abd el-Krim	1882	1963	Morocco/Egypt
Alexander Gray	1882	1968	Scotland
Alice Grant Rosman	1882	1961	Australia
Annie Homer	1882	1953	England
Aref Qazvini	1882	1934	Iran
Arthur Eddington	1882	1944	England
Basil Blackett	1882	1935	India/Germany
C. V. Durell	1882	1968	England/S Africa
E. R. Eddison	1882	1945	England
Edward Morgan Humphreys	1882	1955	Wales
Edwin Barclay	1882	1955	Liberia
Edwin Barclay	1882	1955	Liberia
Elin Wägner	1882	1949	Sweden
Enid Derham	1882	1941	Australia
Ernst Weiss	1882	1940	Austria/France
Fan Noli	1882	1965	Ottoman E/US
Frederic Manning	1882	1935	England
Grace James	1882	1965	Japan/Italy
Hendrik Willem van Loon	1882	1944	Netherlands/US
Ikuma Arishima	1882	1974	Japan
James Joyce	1882	1941	Ireland/Italy
Jóhann Gunnar Sigurðsson	1882	1906	Iceland
John Drinkwater	1882	1937	England
Jun Kawada	1882	1966	Japan
Karl Valentin	1882	1948	Germany
Kitty Barne	1882	1961	England
Kitty Barne	1882	1961	England
Kod Nomura	1882	1963	Japan
Korney Chukovsky	1882	1969	Russian E/USSR
Korney Chukovsky	1882	1969	Russian E/USSR
Leo Perutz	1882	1957	Austrian E/Austria
Leonhard Frank	1882	1961	Germany/US
Louis Pergaud	1882	1915	France
Maga Magazinovic'	1882	1968	Serbia/Yugoslavia
Manuel Gálvez	1882	1962	Argentina
Margaret Winifred Vowles	1882	1932	England
Martin Armstrong	1882	1974	
Martin Koch	1882	1940	Sweden
Mary St Domitille Hickey	1882	1958	N Zealand
Miekichi Suzuki	1882	1936	Japan
Mokichi Sait	1882	1953	Japan
Monteiro Lobato	1882	1948	Brazil
Monteiro Lobato	1882	1948	Brazil
Nelle Scanlan	1882	1968	N Zealand
Oswald Couldrey	1882	1958	England
Ricardo Rojas	1882	1957	Argentina
Richard Barham Middleton	1882	1911	England/Belgium
Ruth Bedford	1882	1963	Australia
Sant Taneda	1882	1940	Japan
Sant Taneda	1882	1940	Japan
Sheikh Fazlul Karim	1882	1936	India
Shinkichi Hashimoto	1882	1945	Japan
Sigrid Undset	1882	1949	Norway
Subramania Bharati	1882	1921	India
Sylvia Pankhurst	1882	1960	England/Ethiopia
Víctor Domingo Silva	1882	1960	Chile
Vincas Kr-Mickevicvius	1882	1954	Russian E/USSR
Virginia Woolf	1882	1941	England
Willem Elsschot	1882	1960	Belgium
Winifred Mary Letts	1882	1972	England/Ireland
Winifred Peck	1882	1962	England
Wyndham Lewis	1882	1957	Canada/England
Youssef Howayek	1882	1967	Ottoman E/Lebanon
Alberto Gerchunoff	1883	1950	Russian E/Argentina
Aleksey Nikolayevich Tolstoy	1883	1945	Russian E/USSR
Alexey Tolstoy	1883	1945	Russian E/USSR
Alice Woodhouse	1883	1977	N Zealand
Compton Mackenzie	1883	1972	England/Scotland
Coningsby Dawson	1883	1959	England/Canada
Demyan Bedny	1883	1945	Russian E/USSR
E. J. Pratt	1883	1964	Newfoundland/Canada
Edmund John	1883	1917	England/Italy
Ethel Anderson	1883	1958	Australia
Ethel Nokes	1883	1976	England
Evaristo Carriego	1883	1912	Argentina
Franz Kafka	1883	1924	Austria E/Czechoslovakia
Franz Xaver Kappus	1883	1966	Austria-Hungary/Germany
Geoffrey Studdert Kennedy	1883	1929	England
George Ciprian	1883	1968	Romania
Gilbert Waterhouse	1883	1916	England/France
Gyula Juhász	1883	1937	Hungary
Helen Jerome	1883	1966	Ireland/US
Hjalmar Bergman	1883	1931	Sweden/Germany
Ikki Kita	1883	1937	Japan
J. Redwood Anderson	1883	1964	England
Jack Lait	1883	1954	US
Jaroslav Hasvek	1883	1923	Austria-Hungary/Czechoslovakia
Jessie Litchfield	1883	1956	Australia
Joan Riviere	1883	1962	England
Johnston McCulley	1883	1958	US
José Ortega y Gasset	1883	1955	Spain
Joseph Jefferson Farjeon	1883	1955	England
K Takamura	1883	1956	Japan
Kahlil Gibran	1883	1931	Ottoman E/US
Károly Kós	1883	1977	Hungary
Katharine Susannah Prichard	1883	1969	Fiji/Australia
Kathleen Hawkins	1883	1981	N Zealand
Lizzie Juvkam	1883	1969	Norway
Marguerite Dale	1883	1963	Australia
May Edginton	1883	1957	England
Mihály Babits	1883	1941	Hungary
Milosav Jelic'	1883	1947	Serbia/Yugoslavia
Naoya Shiga	1883	1971	Japan
Napoleon Hill	1883	1970	US
Nikos Kazantzakis	1883	1957	Greece/Germany
Olaf Benneche	1883	1931	Norway
Olaf Bull	1883	1933	Norway
Olav Aukrust	1883	1929	Norway
P Moe Nin	1883	1940	Burma
Porfirio Barba-Jacob	1883	1942	Colombia
Porfirio Barba-Jacob	1883	1942	Colombia
Ralph Hale Mottram	1883	1971	England
Ralph Hale Mottram	1883	1971	England
Ricardo Miró	1883	1940	Panama
Shen Yinmo	1883	1971	China
Sima Pandurovic'	1883	1960	Serbia/Yugoslavia
Sonia Greene	1883	1972	US
T. E. Hulme	1883	1917	England
Teresina Bontempi	1883	1968	Switzerland
Todor Manojlovic'	1883	1968	Austria-Hungary/Yugoslavia
Umberto Saba	1883	1957	Austria-Hungary/Italy
William Baylebridge	1883	1942	Australia
William Carlos Williams	1883	1963	US
Abraham Merritt	1884	1943	US
Ahmet Hâ	1884	1933	Ottoman E/Turkey
Albert Steffen	1884	1963	Switzerland
Aldous Huxley	1884	1963	England
Alexander Abasheli	1884	1954	Georgia/USSR
Alison Uttley	1884	1976	England
Arthur Ransome	1884	1967	England
Augusto Coello	1884	1941	Guatemala/Honduras
Augusto dos Anjos	1884	1914	Brazil
Azarías Pallais	1884	1954	Nicaragua
Béla Balázs	1884	1949	Hungary
Boch Yamamura	1884	1924	Japan
C. H. Dodd	1884	1973	Wales/England
Daniel Varoujan	1884	1915	Ottoman E
David Bergelson	1884	1952	Russian E/USSR
Earl Derr Biggers	1884	1933	US
Eduardo Barrios	1884	1963	Chile
Ehm Welk	1884	1966	Germany
Emilio Álvarez Lejarza	1884	1969	Nicaragua
Eric P. Kelly	1884	1960	US
Eugene Zamyatin	1884	1937	Russian E/USSR
Ferdinand Bordewijk	1884	1965	Netherlands
Fred Thompson	1884	1949	England
Geoffrey Scott	1884	1929	England
George Sarton	1884	1956	Belgium/US
Georges Duhamel	1884	1966	France
Gerald Gardner	1884	1964	England
Géza Gyóni	1884	1917	Hungary/Russian E
Gilbert Cannan	1884	1955	England
Gilbert Frankau	1884	1952	England
Gonzalo Zaldumbide	1884	1965	Ecuador
Halide Edib Adıvar	1884	1964	Turkey
Hiroshi Koshiba	1884	1925	Japan
Hugh Walpole	1884	1941	England
Hugo Gernsback	1884	1967	Luxembourg/US
Ivan 	1884	1957	France/Yugoslavia
Ivy Compton-Burnett	1884	1969	England
Jack Jones	1884	1970	Wales
James Elroy Flecker	1884	1915	England
János Mattis-Teutsch	1884	1960	Austria-Hungary/Romania
Joan Wake	1884	1974	England
Josip Vandot	1884	1944	Austrian Empire/Yugoslavia
Jules Supervielle	1884	1960	Uruguay
Jun Tsuji	1884	1944	Japan
Leo Kiacheli	1884	1963	Russian E/USSR
Lion Feuchtwanger	1884	1958	Germany/US
Ljubica Ivosvevic' Dimitrov	1884	1933	Serbia/Soviet Union
Marjorie Quennell	1884	1972	England
Max Brod	1884	1968	Austrian E/Israel
Milutin Uskokovic'	1884	1915	Serbia
Nicos Nicolaides	1884	1956	Greece/Egypt
Nikolay Klyuev	1884	1937	Russian E/USSR
Noburu Katagami	1884	1928	Japan
Ogiwara Seisensui	1884	1976	Japan
Olav Nygard	1884	1924	Norway
Ömer Seyfettin	1884	1920	Ottoman E
Panait Istrati	1884	1935	Romania
Pedro Henríquez Ureña	1884	1946	Dominican Rep.
Phyllis Bottome	1884	1963	England
R. Williams Parry	1884	1956	Wales
Raul Proença	1884	1941	Portugal
Regina Ullmann	1884	1961	Switzerland/Germany
Roderic Dunkerley	1884	1966	England
Rómulo Gallegos	1884	1969	Venezuela
Ruth Draper	1884	1956	US
Sara Teasdale	1884	1933	US
Sergey Gorodetsky	1884	1967	Russian E/USSR
Stephanie Vetter	1884	1974	Netherlands/Belgium
Stephen Graham	1884	1975	Scotland/US
Su Manshu	1884	1918	China
Sven Elvestad	1884	1934	Norway
Vasile Voiculescu	1884	1963	Romania
Veljko Petrovic'	1884	1967	Austria-Hungary/Yugoslavia
Wilhelm Herzog	1884	1960	Germany
Will Cuppy	1884	1949	US
Yahya Kemal Beyatlı	1884	1958	Ottoman E/Turkey
Yevgeny Zamyatin	1884	1937	Russian E/France
Alf Larsen	1885	1967	Norway
André Maurois	1885	1967	France
Andrew Young	1885	1971	Scotland/England
Annie Christitch	1885	1977	Serbia/England
Antonio Porchia	1885	1968	Italy/Argentina
Aquilino Ribeiro	1885	1963	Portugal
Ashley Dukes	1885	1959	England
Benito Lynch	1885	1951	Argentina
Berthold Viertel	1885	1953	Austria
Bokusui Wakayama	1885	1928	Japan
Carl Einstein	1885	1940	Germany/France
Céline Arnauld	1885	1952	Romania/France
Concordia Merrel	1885	1962	England
D. H. Lawrence	1885	1930	England
D. H. Lawrence	1885	1930	England/France
Dakotsu Iida	1885	1962	Japan
David John Williams	1885	1970	Wales
Dezso'' Kosztolányi	1885	1936	Hungary
Dorita Fairlie Bruce	1885	1970	Scotland
Dorothea Mackellar	1885	1968	Australia
Dragisva Vasic'	1885	1945	Serbia/Yugoslavia
Edna Ferber	1885	1968	US
Egon Kisch	1885	1948	Austrian E/Czechoslovakia
Elinor Wylie	1885	1928	US
Elsie K. Morton	1885	1968	N Zealand
Ernest Claes	1885	1968	Belgium
Ezra Pound	1885	1972	US/Italy
F. S. Flint	1885	1960	England
Ferenc Mezo''	1885	1961	Hungary
François Mauriac	1885	1970	France
Friedrich Kellner	1885	1970	Germany
Hakush Kitahara	1885	1942	Japan
Helen Losanitch Frothingham	1885	1972	Serbia/France
Herman Wildenvey	1885	1959	Norway
Hideo Nagata	1885	1949	Japan
Huang Yuanyong	1885	1915	China
I. A. R. Wylie	1885	1959	Australia/US
J. E. Harold Terry	1885	1939	England
John Lloyd-Jones	1885	1956	Wales/Ireland
Juan de Dios Filiberto	1885	1964	Argentina
Jules Romains	1885	1972	France
Juliusz Kaden-Bandrowski	1885	1944	Russian E/Poland
Kansuke Naka	1885	1965	Japan
Kavisekhara Dr Umar Alisha	1885	1945	India
Kavisekhara Dr Umar Alisha	1885	1945	India
Kurt Hiller	1885	1972	Germany
Lekhnath Paudyal	1885	1966	Nepal
Liviu Rebreanu	1885	1944	Austria-Hungary/Romania
Lizzie Yu Der Ling	1885	1944	China/US
Louis Untermeyer	1885	1977	US
Magnhild Haalke	1885	1984	Norway
Margaret Fairley	1885	1968	England/Canada
Mateiu Caragiale	1885	1936	Romania
Milan Vidmar	1885	1962	Austrian E/Yugoslavia
Mitsuko Shiga	1885	1976	Japan
Mokutaro Kinoshita	1885	1945	Japan
Muhammad Shahidullah	1885	1969	India/E Pakistan
Nettie Palmer	1885	1964	Australia
Olav Gullvåg	1885	1961	Norway
Ozaki H	1885	1926	Japan
Rose Lindsay	1885	1978	Australia
Russell Thorndike	1885	1972	England
Ruth Owen	1885	1954	US
Saneatsu Mushanok	1885	1976	Japan
Sinclair Lewis	1885	1951	US
St John Philby	1885	1960	Ceylon/Lebanon
Vahan Terian	1885	1920	Russian E
Vance Palmer	1885	1959	Australia
Velimir Khlebnikov	1885	1922	Russian E
Violet Augusta Roche	1885	1967	N Zealand
Willoughby Weaving	1885	1976	England
Xiong Shili	1885	1968	China
Yaeko Nogami	1885	1985	Japan
Zsófia Dénes	1885	1987	Hungary
Aeneas Francon Williams	1886	1971	Scotland
Albert Ehrenstein	1886	1950	Austria/US
Alexey Kruchenykh	1886	1968	Russian E/USSR
Armin T. Wegner	1886	1978	Germany/Italy
Árpád Tóth	1886	1928	Hungary
Beatrice Redpath	1886	1937	Canada
Biadula	1886	1941	Russian E/USSR
Charles Seltman	1886	1957	England
Charles Williams	1886	1945	England
Clyde Carr	1886	1962	N Zealand
Delmira Agustini	1886	1914	Uruguay
Douglas S. Freeman	1886	1953	US
Elena Fortún	1886	1952	Spain
Ethel Carnie Holdsworth	1886	1962	England
Felix Timmermans	1886	1947	Belgium
Frances Cornford	1886	1960	England
Francis Carco	1886	1958	New Caledonia/France
George Topîrceanu	1886	1937	Romania
Gottfried Benn	1886	1956	Germany
Helen Cruickshank	1886	1975	Scotland
Hella Wuolijoki	1886	1964	Estonia/Finland
Hermann Broch	1886	1951	Austria/US
Hugh Lofting	1886	1947	England/US
Hugo Ball	1886	1927	Germany/Switzerland
Ion Graumadau	1886	1917	Austria-Hungary/Romania
Isamu Yoshii	1886	1960	Japan
Ivy Gibbs	1886	1966	N Zealand
James Cowles Prichard	1886	1948	England
John Franklin	1886	1947	England/Canada
John Gould Fletcher	1886	1960	US
Josef Greiner	1886	1971	Austrian E/Austria
Josip Ribicvicv	1886	1969	Austrian E/Yugoslavia
Joyce Kilmer	1886	1918	US
Jun'ichir Tanizaki	1886	1965	Japan
Kin'yuki Sonoike	1886	1974	Japan
Kinoshita Rigen	1886	1925	Japan
Louise Andrews Kent	1886	1969	US
Manuel Bandeira	1886	1968	Brazil
Marthe Bibesco	1886	1973	Romania/France
Massuka Zvivojinovic'	1886	1974	Serbia/Yugoslavia
Muhammad Loutfi Goumah	1886	1953	Egypt
Nikolay Gumilyov	1886	1921	Russian E/USSR
O. G. S. Crawford	1886	1957	India/England
Olaf Stapledon	1886	1950	England
Oskar Kokoschka	1886	1980	Austria/Switzerland
Proka Jovkic'	1886	1915	Austria-Hungary/Serbia
Ricardo Güiraldes	1886	1927	Argentina
Robert Hohlbaum	1886	1955	Austrian E/Germany
Robert Newton Flew	1886	1962	England
Ronald Firbank	1886	1926	England/Italy
Ruth Manning-Sanders	1886	1988	Wales/England
Sakutar Hagiwara	1886	1942	Japan
Siegfried Sassoon	1886	1967	England
Sigurður Nordal	1886	1974	Iceland
Takuboku Ishikawa	1886	1912	Japan
Thomas Burke	1886	1945	England
Tore Ørjasæter	1886	1968	Norway
Tuqay	1886	1913	Russian E
Vladislav Khodasevich	1886	1939	Russian E/USSR
Walter R. Brooks	1886	1958	US
William Bueller Seabrook	1886	1945	US
William Rose Benét	1886	1950	US
Wl/adysl/aw Tatarkiewicz	1886	1980	Poland
Adam Kuckhoff	1887	1943	Germany
Albert Paris Gütersloh	1887	1973	Austria
António Sardinha	1887	1925	Portugal
Arnold Zweig	1887	1968	Germany
Arthur Omre	1887	1967	Norway
Charles Galton Darwin	1887	1962	England
Dimitrije Mitrinovic'	1887	1953	Austria-Hungary/England
Dorothy Lamb	1887	1967	England
E. V. Rieu	1887	1972	England
Edith Sitwell	1887	1964	England
Edwin Muir	1887	1959	Scotland
Elisabeth Bergstrand-Poulsen	1887	1955	Sweden/Denmark
Elizabeth Daryush	1887	1977	England
Elizabeth Watkin-Jones	1887	1966	Wales
Ella McFadyen	1887	1976	Australia
Ernst Wiechert	1887	1950	Germany/Switzerland
Francis Ledwidge	1887	1917	Ireland
Frederick Macartney	1887	1980	Australia
Frigyes Karinthy	1887	1938	Hungary
Georg Heym	1887	1912	Germany
Georg Trakl	1887	1914	Austrian E
George Kelly	1887	1974	US
Guðrún frá Lundi	1887	1975	Iceland
Helena Rosa Wright	1887	1982	England
Herbert Farjeon	1887	1945	England
Hesketh Pearson	1887	1964	England
Hranush Arshagyan	1887	1905	Ottoman E
Igor Severyanin	1887	1941	Russian E/USSR
J. C. Bloem	1887	1966	Netherlands
Joaquín Edwards Bello	1887	1968	Chile
John van Melle	1887	1953	Netherlands/S Africa
Joice NanKivell Loch	1887	1882	Australia
Joseph M. Bachelor	1887	1947	US
Julian Huxley	1887	1975	England
K. M. Munshi	1887	1971	India
Karl Zuchardt	1887	1968	Germany
Khwaja Muhammad Latif Ansari	1887	1979	India/Pakistan
Kit McNaughton	1887	1953	Australia
Kurt Schwitters	1887	1948	Germany/England
Lady Cynthia Asquith	1887	1960	England
Lajos Áprily	1887	1967	Hungary
Lajos Kassák	1887	1967	Hungary
Lothar Rendulic	1887	1971	Austria
Margaret Curran	1887	1962	Australia
Margaret Fane	1887	1962	Australia
Marianne Moore	1887	1972	US
Martín Luis Guzmán	1887	1976	Mexico
Mikihiko Nagata	1887	1964	Japan
Paula von Preradovic'	1887	1951	Austria/Yugoslavia
Pavel Golia	1887	1959	Austria-Hungary/Yugoslavia
Pierre Jean Jouve	1887	1976	France
Qian Xuantong	1887	1939	China
Reginald James MacGregor	1887	1961	England
René Maran	1887	1960	Martinique/France
Robinson Jeffers	1887	1962	US
Rupert Brooke	1887	1915	England/Greece
Saint-John Perse	1887	1975	Guadeloupe/France
Salama Moussa	1887	1958	Egypt
Salomón Ibarra Mayorga	1887	1985	Nicaragua
Shinobu Orikuchi	1887	1953	Japan
Sigizmund Krzhizhanovsky	1887	1950	Russian E/USSR
Stefan Grabi	1887	1936	Poland
Sukumar Ray	1887	1923	India
Susan Ertz	1887	1985	England
Sydney George Hulme Beaman	1887	1932	England
T. H. Parry-Williams	1887	1975	Wales
Takitar Minakami	1887	1940	Japan
Violet May Cottrell	1887	1971	N Zealand
Walter Flex	1887	1917	Germany/Russian E
Willard Price	1887	1983	Canada/US
Winifred Birkett	1887	1966	Australia
Zenz Kasai	1887	1928	Japan
Abraham Valdelomar	1888	1919	Peru
Adriaan Roland Holst	1888	1976	Netherlands
Adrien Bertrand	1888	1917	France
Alexander Aaronsohn	1888	1948	Palestine/France
Alexander Loveday	1888	1962	England
Alfons von Czibulka	1888	1969	Austrian E/Germany
Anita Loos	1888	1981	US
Anne Parrish	1888	1957	US
August Kubizek	1888	1956	Austria
Berthe Bénichou-Aboulker	1888	1942	Algeria
Dan Andersson	1888	1920	Sweden
Emil Zegadl/owicz	1888	1941	Austrian E/Poland
Eugene O'Neill	1888	1953	US
Evadne Price	1888	1985	Australia
Fernando Pessoa	1888	1935	Portugal
Frans Eemil Sillanpää	1888	1964	Finland
Friedrich Wolf	1888	1953	Germany
Georges Bernanos	1888	1948	France
Giuseppe Ungaretti	1888	1970	Italy
Guðmundur Kamban	1888	1945	Iceland
H. Russell Wakefield	1888	1964	England
Hemendra Kumar Roy	1888	1963	India
Henri Bosco	1888	1976	France
Hilda Matheson	1888	1940	England
Ivan Stodola	1888	1977	Hungary/Czechoslovakia
John Crowe Ransom	1888	1974	US
José Eustasio Rivera	1888	1928	Colombia
Kan Kikuchi	1888	1948	Japan
Lucy Wills	1888	1964	England
Maria Dermoût	1888	1962	Dutch East Indies/Netherlands
Marion St John Webb	1888	1930	England
Mary Scott	1888	1979	N Zealand
Michael Sadleir	1888	1967	England
Milán Füst	1888	1967	Hungary
Miles Mander	1888	1946	England
Millicent Armstrong	1888	1973	Australia
Neville Cardus	1888	1975	England
Pe Maung Tin	1888	1973	Burma
Raymond Chandler	1888	1959	US/England
Ronald Knox	1888	1957	England
Ryuko Kawaji	1888	1959	Japan
Senge Motomaro	1888	1948	Japan
Sydney Horler	1888	1964	England
T. S. Eliot	1888	1965	US/England
Thea von Harbou	1888	1954	Germany
Toyohiko Kagawa	1888	1960	Japan
Tracy Philipps	1888	1959	England
Vicki Baum	1888	1960	Austria/US
Vladimir Narbut	1888	1938	Russian E/USSR
Yoshir Nagayo	1888	1961	Japan
Þórbergur Þórðarson	1888	1974	Iceland
Abbas Mahmoud al-Aqqad	1889	1964	Egypt
Abel Salazar	1889	1946	Portugal
Aleksandra Monedzhikova	1889	1959	Bulgaria
Alfonso Reyes	1889	1959	Mexico
Alfred Lichtenstein	1889	1914	Germany/France
Aline Valangin	1889	1986	Switzerland
Alma Karlin	1889	1950	Austrian E/Yugoslavia
Alter Esselin	1889	1974	Russian E/US
Anna Akhmatova	1889	1966	Russian E/USSR
Arnold J. Toynbee	1889	1975	England
Arnulf Øverland	1889	1968	Norway
Arthur Waley	1889	1966	England
Artur Adson	1889	1977	Russian E/Estonia
Bertil Malmberg	1889	1958	Sweden
Carl von Ossietzky	1889	1938	Germany
Charles Boardman Hawes	1889	1923	US
Christopher Dawson	1889	1970	Wales/England
Cissy van Marxveldt	1889	1948	Netherlands
Clifford Allen, 1st Baron Allen of Hurtwood	1889	1939	England/Switzerland
Don Herold	1889	1966	US
Dorothy Jordan Lloyd	1889	1946	England
Dorothy Margaret Stuart	1889	1963	England
Edgar Adrian	1889	1977	England
Eileen Power	1889	1940	England
Elizabeth Kelso	1889	1967	N Zealand
Elizabeth Sanxay Holding	1889	1955	US
Enid Bagnold	1889	1981	England
Fredegond Shove	1889	1949	England
G. D. H. Cole	1889	1959	England
